statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths
280,240,6,27,1866,7,3,1866,1866,2,3,1,3,1.0,100.0,500.0,1,6,-400.0,600.0
240,325,6,24,1866,7,20,1866,1866,3,2,3,1,3.0,500.0,4000.0,1,26,-3500.0,4500.0
325,240,6,24,1866,7,20,1866,1866,2,3,1,3,1.0,4000.0,500.0,1,26,3500.0,4500.0
245,255,6,27,1866,7,3,1866,1866,3,1,3,1,3.0,500.0,10100.0,1,6,-9600.0,10600.0
255,245,6,27,1866,7,3,1866,1866,1,3,1,3,1.0,10100.0,500.0,1,6,9600.0,10600.0
245,280,6,27,1866,7,3,1866,1866,3,2,3,1,3.0,500.0,100.0,1,6,400.0,600.0
280,245,6,27,1866,7,3,1866,1866,2,3,1,3,1.0,100.0,500.0,1,6,-400.0,600.0
245,325,6,24,1866,7,20,1866,1866,3,2,3,1,3.0,500.0,4000.0,1,26,-3500.0,4500.0
325,245,6,24,1866,7,20,1866,1866,2,3,1,3,1.0,4000.0,500.0,1,26,3500.0,4500.0
255,267,6,27,1866,7,3,1866,1866,1,3,1,3,1.0,10100.0,100.0,1,6,10000.0,10200.0
267,255,6,27,1866,7,3,1866,1866,3,1,3,1,3.0,100.0,10100.0,1,6,-10000.0,10200.0
255,269,6,27,1866,7,3,1866,1866,1,3,1,3,1.0,10100.0,600.0,1,6,9500.0,10700.0
269,255,6,27,1866,7,3,1866,1866,3,1,3,1,3.0,600.0,10100.0,1,6,-9500.0,10700.0
255,271,6,27,1866,7,3,1866,1866,1,3,1,3,1.0,10100.0,100.0,1,6,10000.0,10200.0
271,255,6,27,1866,7,3,1866,1866,3,1,3,1,3.0,100.0,10100.0,1,6,-10000.0,10200.0
255,273,6,27,1866,7,3,1866,1866,1,3,1,3,1.0,10100.0,100.0,1,6,10000.0,10200.0
273,255,6,27,1866,7,3,1866,1866,3,1,3,1,3.0,100.0,10100.0,1,6,-10000.0,10200.0
255,275,6,27,1866,7,3,1866,1866,1,3,1,3,1.0,10100.0,100.0,1,6,10000.0,10200.0
275,255,6,27,1866,7,3,1866,1866,3,1,3,1,3.0,100.0,10100.0,1,6,-10000.0,10200.0
255,300,6,27,1866,7,3,1866,1866,1,3,1,3,1.0,10100.0,28000.0,1,6,-17900.0,38100.0
300,255,6,27,1866,7,3,1866,1866,3,1,1,3,3.0,28000.0,10100.0,1,6,17900.0,38100.0
267,280,6,27,1866,7,3,1866,1866,3,2,3,1,3.0,100.0,100.0,1,6,0.0,200.0
280,267,6,27,1866,7,3,1866,1866,2,3,1,3,1.0,100.0,100.0,1,6,0.0,200.0
267,325,6,24,1866,7,20,1866,1866,3,2,3,1,3.0,100.0,4000.0,1,26,-3900.0,4100.0
325,267,6,24,1866,7,20,1866,1866,2,3,1,3,1.0,4000.0,100.0,1,26,3900.0,4100.0
269,280,6,27,1866,7,3,1866,1866,3,2,3,1,3.0,600.0,100.0,1,6,500.0,700.0
280,269,6,27,1866,7,3,1866,1866,2,3,1,3,1.0,100.0,600.0,1,6,-500.0,700.0
269,325,6,24,1866,7,20,1866,1866,3,2,3,1,3.0,600.0,4000.0,1,26,-3400.0,4600.0
325,269,6,24,1866,7,20,1866,1866,2,3,1,3,1.0,4000.0,600.0,1,26,3400.0,4600.0
271,280,6,27,1866,7,3,1866,1866,3,2,3,1,3.0,100.0,100.0,1,6,0.0,200.0
