stateabb,statea,year,defensebudget,milsize,IronSteelProduct,EnergyUse,totalpop,urbanpop,CINC_Score_A,version_x,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths,CINC_Score_B,version_y,diff_CINC
CAN,20,1953,2028835.0,104.0,3734.0,67118.0,14886.0,3415.0,0.014219799999999998,2011,731,2,19,1951,7,27,1953,4,1,1,3,2.0,309.0,316579.0,3,889,-316270.0,316888.0,0.0035673000000000002,2011,0.010652499999999997
CAN,20,1991,11420000.0,86.0,12987.0,282095.0,28031.0,10455.0,0.0116946,2011,645,1,16,1991,2,28,1991,4,1,1,3,1.0,0.0,40000.0,1,43,-40000.0,40000.0,0.008368899999999999,2011,0.003325700000000001
CUB,40,1975,326000.0,120.0,298.0,15473.0,9299.0,1989.0,0.0020484,2011,490,10,23,1975,2,12,1976,3,2,3,1,2.0,1500.0,100.0,2,112,1400.0,1600.0,0.0025044,2011,-0.0004559999999999998
CUB,40,1975,326000.0,120.0,298.0,15473.0,9299.0,1989.0,0.0020484,2011,560,10,23,1975,2,12,1976,3,1,3,1,2.0,1500.0,100.0,3,112,1400.0,1600.0,0.0068328,2011,-0.004784399999999999
CUB,40,1976,0.0,125.0,250.0,15497.0,9430.0,2216.0,0.0023364,2011,490,10,23,1975,2,12,1976,3,2,3,1,2.0,1500.0,100.0,1,112,1400.0,1600.0,0.0025014,2011,-0.00016499999999999978
CUB,40,1976,0.0,125.0,250.0,15497.0,9430.0,2216.0,0.0023364,2011,560,10,23,1975,2,12,1976,3,1,3,1,2.0,1500.0,100.0,4,112,1400.0,1600.0,0.006983400000000001,2011,-0.004647
CUB,40,1978,1031579.0,210.0,324.0,15953.0,9644.0,2671.0,0.0028752,2011,520,1,22,1978,3,9,1978,4,1,1,3,1.0,1800.0,700.0,1,46,1100.0,2500.0,0.0006944,2011,0.0021808
CUB,40,1987,1660000.0,297.0,402.0,18249.0,10301.0,3802.0,0.0032813000000000004,2011,560,8,4,1987,6,27,1988,1,3,3,1,2.0,700000.0,316579.0,1,328,383421.0,1016579.0,0.008201100000000001,2011,-0.0049198
CUB,40,1988,2240000.0,297.0,321.0,19915.0,10412.0,3944.0,0.0033445,2011,560,8,4,1987,6,27,1988,1,3,3,1,2.0,700000.0,316579.0,2,328,383421.0,1016579.0,0.0080392,2011,-0.0046947
MEX,70,1846,5283.0,20.0,0.0,12.0,7403.0,161.0,0.0179395,2011,2,4,25,1846,9,14,1847,3,1,3,1,3.0,6000.0,13283.0,1,507,-7283.0,19283.0,0.08275729999999999,2011,-0.0648178
MEX,70,1847,0.0,20.0,0.0,11.0,7472.0,163.0,0.0086196,2011,2,4,25,1846,9,14,1847,3,1,3,1,3.0,6000.0,13283.0,2,507,-7283.0,19283.0,0.0845096,2011,-0.07589
MEX,70,1862,0.0,27.0,0.0,64.0,8611.0,205.0,0.0052148,2011,220,5,5,1862,2,5,1867,3,1,3,1,1.0,12000.0,8000.0,1,1737,4000.0,20000.0,0.10611960000000001,2011,-0.1009048
MEX,70,1863,0.0,10.0,0.0,67.0,8708.0,208.0,0.0044614,2011,220,5,5,1862,2,5,1867,3,1,3,1,1.0,12000.0,8000.0,5,1737,4000.0,20000.0,0.10237439999999999,2011,-0.09791299999999999
MEX,70,1864,0.0,15.0,0.0,65.0,8802.0,211.0,0.0046122,2011,220,5,5,1862,2,5,1867,3,1,3,1,1.0,12000.0,8000.0,6,1737,4000.0,20000.0,0.097339,2011,-0.0927268
MEX,70,1865,2157.0,21.0,0.0,67.0,8891.0,214.0,0.0065961,2011,220,5,5,1862,2,5,1867,3,1,3,1,1.0,12000.0,8000.0,4,1737,4000.0,20000.0,0.11067819999999999,2011,-0.1040821
MEX,70,1866,2594.0,40.0,0.0,64.0,8957.0,217.0,0.007732899999999999,2011,220,5,5,1862,2,5,1867,3,1,3,1,1.0,12000.0,8000.0,2,1737,4000.0,20000.0,0.1093204,2011,-0.1015875
MEX,70,1867,0.0,33.0,0.0,69.0,9022.0,221.0,0.0055965,2011,220,5,5,1862,2,5,1867,3,1,3,1,1.0,12000.0,8000.0,3,1737,4000.0,20000.0,0.11666480000000001,2011,-0.11106830000000001
GUA,90,1876,0.0,3.0,0.0,0.0,581.0,0.0,0.0002735,2011,92,3,20,1876,4,25,1876,1,3,1,3,1.0,2000.0,2000.0,1,36,0.0,4000.0,0.0002963,2011,-2.2800000000000012e-05
GUA,90,1885,0.0,3.0,0.0,0.0,681.0,0.0,0.0002855,2011,92,3,28,1885,4,15,1885,1,3,1,3,3.0,800.0,200.0,1,18,600.0,1000.0,0.0002674,2011,1.8100000000000006e-05
GUA,90,1906,431.0,7.0,0.0,0.0,1030.0,0.0,0.0005178,2011,91,7,9,1906,7,17,1906,3,2,3,1,1.0,400.0,300.0,1,8,100.0,700.0,0.00014350000000000002,2011,0.0003743
GUA,90,1906,431.0,7.0,0.0,0.0,1030.0,0.0,0.0005178,2011,92,7,9,1906,7,17,1906,3,1,3,1,1.0,400.0,300.0,1,8,100.0,700.0,0.00029289999999999996,2011,0.00022490000000000005
HON,91,1906,103.0,1.0,0.0,0.0,510.0,0.0,0.00014350000000000002,2011,90,7,9,1906,7,17,1906,2,3,1,3,3.0,300.0,400.0,1,8,-100.0,700.0,0.0005178,2011,-0.0003743
HON,91,1907,135.0,1.0,0.0,0.0,520.0,0.0,0.0001625,2011,93,2,19,1907,4,23,1907,3,1,3,1,3.0,300.0,400.0,1,63,-100.0,700.0,0.00022490000000000002,2011,-6.240000000000003e-05
HON,91,1969,7100.0,6.0,0.0,876.0,2565.0,304.0,0.0002653,2011,92,7,14,1969,7,18,1969,3,1,3,1,3.0,1200.0,700.0,1,4,500.0,1900.0,0.00037230000000000005,2011,-0.00010700000000000005
SAL,92,1876,164.0,1.0,0.0,0.0,555.0,0.0,0.0002963,2011,90,3,20,1876,4,25,1876,3,1,3,1,3.0,2000.0,2000.0,1,36,0.0,4000.0,0.0002735,2011,2.2800000000000012e-05
SAL,92,1885,123.0,1.0,0.0,0.0,651.0,0.0,0.0002674,2011,90,3,28,1885,4,15,1885,3,1,3,1,1.0,200.0,800.0,1,18,-600.0,1000.0,0.0002855,2011,-1.8100000000000006e-05
SAL,92,1906,191.0,3.0,0.0,0.0,910.0,0.0,0.00029289999999999996,2011,90,7,9,1906,7,17,1906,1,3,1,3,3.0,300.0,400.0,1,8,-100.0,700.0,0.0005178,2011,-0.00022490000000000005
SAL,92,1907,200.0,3.0,0.0,0.0,930.0,0.0,0.0003067,2011,93,3,18,1907,4,23,1907,4,1,3,1,3.0,300.0,400.0,1,36,-100.0,700.0,0.00022490000000000002,2011,8.179999999999996e-05
SAL,92,1969,10480.0,4.0,3.0,668.0,3390.0,625.0,0.00037230000000000005,2011,91,7,14,1969,7,18,1969,1,3,1,3,1.0,700.0,1200.0,1,4,-500.0,1900.0,0.0002653,2011,0.00010700000000000005
NIC,93,1907,0.0,4.0,0.0,0.0,515.0,0.0,0.00022490000000000002,2011,91,2,19,1907,4,23,1907,1,3,1,3,1.0,400.0,300.0,1,63,100.0,700.0,0.0001625,2011,6.240000000000003e-05
NIC,93,1907,0.0,4.0,0.0,0.0,515.0,0.0,0.00022490000000000002,2011,92,3,18,1907,4,23,1907,1,4,1,3,1.0,400.0,300.0,1,36,100.0,700.0,0.0003067,2011,-8.179999999999996e-05
COL,100,1863,0.0,4.0,0.0,0.0,2644.0,0.0,0.0008254,2011,130,12,6,1863,12,6,1863,3,1,3,1,1.0,300.0,700.0,1,0,-400.0,1000.0,0.00025350000000000004,2011,0.0005719
